time_s,total_queue,vip_queue,phase
4.943,1,0,NS
4.96,1,0,NS
4.977,1,0,NS
4.994,1,0,NS
5.011,1,0,NS
5.028,1,0,NS
5.045,1,0,NS
5.062,1,0,NS
5.079,1,0,NS
5.096,0,0,NS
5.113,0,0,NS
5.13,0,0,NS
5.147,0,0,NS
5.164,0,0,NS
5.181,0,0,NS
5.198,0,0,NS
5.215,0,0,NS
5.232,0,0,NS
5.249,0,0,NS
5.266,0,0,NS
5.283,0,0,NS
5.3,0,0,NS
5.317,0,0,NS
5.334,0,0,NS
5.351,0,0,NS
5.368,0,0,NS
5.385,0,0,NS
5.402,0,0,NS
5.419,0,0,NS
5.437,0,0,NS
5.454,0,0,NS
5.471,0,0,NS
5.488,0,0,NS
5.505,0,0,NS
5.522,0,0,NS
5.539,0,0,NS
5.556,0,0,NS
5.573,0,0,NS
5.59,0,0,NS
5.607,0,0,NS
5.624,0,0,NS
5.641,0,0,NS
5.658,0,0,NS
5.675,0,0,NS
5.692,0,0,NS
5.709,0,0,NS
5.726,0,0,NS
5.743,0,0,NS
5.76,0,0,NS
5.777,0,0,NS
5.794,0,0,NS
5.811,0,0,NS
5.828,0,0,NS
5.845,0,0,NS
5.862,0,0,NS
5.879,0,0,NS
5.896,0,0,NS
5.913,0,0,NS
5.929,0,0,NS
5.946,0,0,NS
5.963,0,0,NS
5.98,0,0,NS
5.997,0,0,NS
6.014,0,0,NS
6.031,0,0,NS
6.048,0,0,NS
6.065,0,0,NS
6.082,0,0,NS
6.099,0,0,NS
6.116,0,0,NS
6.132,0,0,NS
6.149,0,0,NS
6.166,0,0,NS
6.183,0,0,NS
6.2,0,0,NS
6.217,0,0,NS
6.234,0,0,NS
6.251,0,0,NS
6.268,0,0,NS
6.285,0,0,NS
6.302,0,0,NS
6.319,0,0,NS
6.337,0,0,NS
6.354,0,0,NS
6.371,0,0,NS
6.388,0,0,NS
6.405,0,0,NS
6.422,0,0,NS
6.439,0,0,NS
6.456,0,0,NS
6.473,0,0,NS
6.49,0,0,NS
6.507,0,0,NS
6.524,1,0,NS
6.541,1,0,NS
6.558,1,0,NS
6.575,1,0,NS
6.592,1,0,NS
6.609,1,0,NS
6.626,1,0,NS
6.643,1,0,NS
6.661,1,0,NS
6.678,1,0,NS
6.694,1,0,NS
6.711,1,0,NS
6.728,1,0,NS
6.745,1,0,NS
6.762,1,0,NS
6.779,1,0,NS
6.796,1,0,NS
6.813,1,0,NS
6.83,1,0,NS
6.847,1,0,NS
6.864,1,0,NS
6.881,1,0,NS
6.898,1,0,NS
6.915,1,0,NS
6.932,1,0,NS
6.949,1,0,NS
6.966,1,0,NS
6.983,1,0,NS
7.0,1,0,NS
7.017,1,0,NS
7.034,1,0,NS
7.051,1,0,NS
7.068,1,0,NS
7.085,1,0,NS
7.102,1,0,NS
7.119,1,0,NS
7.136,1,0,NS
7.153,1,0,NS
7.17,1,0,NS
7.187,1,0,NS
7.204,1,0,NS
7.221,1,0,NS
7.238,1,0,NS
7.255,0,0,NS
7.272,0,0,NS
7.289,0,0,NS
7.306,0,0,NS
7.323,0,0,NS
7.34,0,0,NS
7.357,0,0,NS
7.374,0,0,NS
7.391,0,0,NS
7.408,0,0,NS
7.425,0,0,NS
7.442,0,0,NS
7.459,0,0,NS
7.476,0,0,NS
7.493,0,0,NS
7.51,0,0,NS
7.527,0,0,NS
7.544,0,0,NS
7.561,0,0,NS
7.578,0,0,NS
7.595,0,0,NS
7.612,0,0,NS
7.629,0,0,NS
7.646,0,0,NS
7.663,0,0,NS
7.681,0,0,NS
7.698,0,0,NS
7.715,0,0,NS
7.732,0,0,NS
7.749,0,0,NS
7.766,0,0,NS
7.783,0,0,NS
7.8,0,0,NS
7.817,0,0,NS
