time_s,total_queue,vip_queue,phase
4.93,1,0,NS
4.947,1,0,NS
4.964,1,0,NS
4.981,1,0,NS
4.998,1,0,NS
5.015,1,0,NS
5.032,1,0,NS
5.049,1,0,NS
5.066,1,0,NS
5.083,1,0,NS
5.1,1,0,NS
5.117,1,0,NS
5.134,1,0,NS
5.151,1,0,NS
5.168,0,0,NS
5.186,0,0,NS
5.203,0,0,NS
5.22,0,0,NS
5.237,0,0,NS
5.254,0,0,NS
5.271,0,0,NS
5.288,0,0,NS
5.305,0,0,NS
5.322,0,0,NS
5.339,0,0,NS
5.356,0,0,NS
5.373,0,0,NS
5.39,0,0,NS
5.407,0,0,NS
5.424,0,0,NS
5.441,0,0,NS
5.458,0,0,NS
5.475,0,0,NS
5.492,0,0,NS
5.509,0,0,NS
5.526,0,0,NS
5.544,0,0,NS
5.561,0,0,NS
5.578,0,0,NS
5.596,0,0,NS
5.613,0,0,NS
5.63,0,0,NS
5.647,0,0,NS
5.664,0,0,NS
5.681,0,0,NS
5.698,0,0,NS
5.715,0,0,NS
5.732,0,0,NS
5.749,0,0,NS
5.766,0,0,NS
5.783,0,0,NS
5.8,0,0,NS
5.817,0,0,NS
5.834,0,0,NS
5.851,0,0,NS
5.868,0,0,NS
5.885,0,0,NS
5.902,0,0,NS
5.919,0,0,NS
5.936,0,0,NS
5.953,0,0,NS
5.97,0,0,NS
5.987,0,0,NS
6.004,0,0,NS
6.021,0,0,NS
6.038,0,0,NS
6.055,0,0,NS
6.072,0,0,NS
6.089,0,0,NS
6.106,0,0,NS
6.123,0,0,NS
6.14,0,0,NS
6.157,0,0,NS
6.174,0,0,NS
6.191,0,0,NS
6.208,0,0,NS
6.226,0,0,NS
6.243,0,0,NS
6.26,0,0,NS
6.277,0,0,NS
6.294,0,0,NS
6.312,0,0,NS
6.329,0,0,NS
6.346,0,0,NS
6.363,0,0,NS
6.38,0,0,NS
6.397,0,0,NS
6.414,0,0,NS
6.431,0,0,NS
6.448,0,0,NS
6.465,0,0,NS
6.482,0,0,NS
6.499,0,0,NS
6.516,0,0,NS
6.533,0,0,NS
6.55,0,0,NS
6.567,0,0,NS
6.584,1,0,NS
6.601,1,0,NS
6.618,1,0,NS
6.635,1,0,NS
6.652,1,0,NS
6.669,1,0,NS
6.686,1,0,NS
6.703,1,0,NS
6.72,1,0,NS
6.738,1,0,NS
6.755,1,0,NS
6.772,1,0,NS
6.789,1,0,NS
6.806,1,0,NS
6.823,1,0,NS
6.84,1,0,NS
6.857,1,0,NS
6.874,1,0,NS
6.891,1,0,NS
6.908,1,0,NS
6.925,1,0,NS
6.942,1,0,NS
6.959,1,0,NS
6.976,1,0,NS
6.992,1,0,NS
7.009,1,0,NS
7.026,1,0,NS
7.043,1,0,NS
7.06,1,0,NS
7.077,1,0,NS
7.094,1,0,NS
7.111,1,0,NS
7.128,1,0,NS
7.145,1,0,NS
7.162,1,0,NS
7.179,1,0,NS
7.196,1,0,NS
7.213,1,0,NS
7.23,1,0,NS
7.247,1,0,NS
7.264,1,0,NS
7.281,1,0,NS
7.298,1,0,NS
7.315,0,0,NS
7.332,0,0,NS
7.349,0,0,NS
7.366,0,0,NS
7.383,0,0,NS
7.4,0,0,NS
7.417,0,0,NS
7.434,0,0,NS
7.451,0,0,NS
7.468,0,0,NS
7.485,0,0,NS
7.502,0,0,NS
7.519,0,0,NS
7.536,0,0,NS
7.553,0,0,NS
7.57,0,0,NS
7.587,0,0,NS
7.604,0,0,NS
7.621,0,0,NS
7.638,0,0,NS
7.655,0,0,NS
7.672,0,0,NS
7.689,0,0,NS
7.706,0,0,NS
7.723,0,0,NS
7.74,0,0,NS
7.757,0,0,NS
7.774,0,0,NS
7.791,0,0,NS
7.808,0,0,NS
7.825,0,0,NS
7.842,0,0,NS
7.859,0,0,NS
7.876,0,0,NS
7.893,0,0,NS
7.91,0,0,NS
7.927,0,0,NS
7.944,0,0,NS
7.961,0,0,NS
7.978,0,0,NS
7.995,0,0,NS
8.012,0,0,NS
8.028,0,0,NS
8.045,0,0,NS
8.062,0,0,NS
8.079,0,0,NS
8.096,0,0,NS
8.113,0,0,NS
8.13,0,0,NS
8.147,0,0,NS
8.164,0,0,NS
8.181,0,0,NS
8.199,0,0,NS
8.216,0,0,NS
8.233,0,0,NS
8.25,0,0,NS
8.267,0,0,NS
8.284,0,0,NS
8.301,0,0,NS
8.318,0,0,NS
8.335,0,0,NS
8.352,0,0,NS
8.369,0,0,NS
8.386,0,0,NS
8.403,0,0,NS
8.42,0,0,NS
8.437,0,0,NS
8.454,0,0,NS
8.471,0,0,NS
8.488,0,0,NS
8.505,0,0,NS
8.522,0,0,NS
8.539,0,0,NS
8.556,0,0,NS
8.573,0,0,NS
8.59,0,0,NS
8.607,0,0,NS
8.624,0,0,NS
8.641,0,0,NS
8.658,0,0,NS
8.675,0,0,NS
8.692,0,0,NS
8.709,0,0,NS
8.726,0,0,NS
8.742,0,0,NS
8.759,1,0,NS
8.775,1,0,NS
8.792,1,0,NS
8.809,1,0,NS
8.826,1,0,NS
8.843,1,0,NS
8.86,1,0,NS
8.877,1,0,NS
8.894,1,0,NS
8.911,1,0,NS
8.928,1,0,NS
8.945,1,0,NS
8.962,1,0,NS
8.979,1,0,NS
8.996,1,0,NS
9.013,1,0,NS
9.03,1,0,NS
9.047,1,0,NS
9.063,1,0,NS
9.079,1,0,NS
9.096,1,0,NS
9.113,1,0,NS
9.13,1,0,NS
9.148,1,0,NS
9.165,1,0,NS
9.182,1,0,NS
9.199,1,0,NS
9.216,1,0,NS
9.233,1,0,NS
9.25,1,0,NS
9.267,1,0,NS
9.284,1,0,NS
9.301,1,0,NS
9.318,1,0,NS
9.335,1,0,NS
9.352,1,0,NS
9.369,1,0,NS
9.386,1,0,NS
9.402,1,0,NS
9.419,1,0,NS
9.436,1,0,NS
9.453,1,0,NS
9.47,1,0,NS
9.487,1,0,NS
9.504,1,0,NS
9.521,1,0,NS
9.538,1,0,NS
9.555,1,0,NS
9.572,1,0,NS
9.589,1,0,NS
9.606,1,0,NS
9.623,1,0,NS
9.64,1,0,NS
9.657,1,0,NS
9.674,1,0,NS
9.691,1,0,NS
9.708,1,0,NS
9.725,1,0,NS
9.742,1,0,NS
9.759,1,0,NS
9.775,1,0,NS
9.792,1,0,NS
9.809,1,0,NS
9.826,1,0,NS
9.843,1,0,NS
9.86,1,0,NS
9.877,1,0,NS
9.894,1,0,NS
9.912,1,0,NS
9.929,1,0,NS
9.946,1,0,NS
9.963,1,0,NS
9.98,1,0,NS
9.997,1,0,NS
10.014,1,0,NS
10.031,1,0,NS
10.048,1,0,NS
10.065,1,0,NS
10.082,1,0,NS
10.099,1,0,NS
10.116,1,0,NS
10.133,1,0,NS
10.151,1,0,NS
10.168,1,0,NS
10.185,1,0,NS
10.202,1,0,NS
10.219,1,0,NS
10.236,1,0,NS
10.253,1,0,NS
10.27,1,0,NS
10.287,1,0,NS
10.304,1,0,NS
10.321,1,0,NS
10.338,1,0,NS
10.355,1,0,NS
10.372,1,0,NS
10.389,1,0,NS
10.406,1,0,NS
10.423,1,0,NS
10.44,1,0,NS
10.457,1,0,NS
10.474,1,0,NS
10.491,1,0,NS
10.508,1,0,NS
10.525,2,0,NS
10.542,2,0,NS
10.559,2,0,NS
10.576,2,0,NS
10.593,2,0,NS
10.61,2,0,NS
10.627,2,0,NS
10.644,2,0,NS
10.661,2,0,NS
10.678,2,0,NS
10.695,2,0,NS
10.712,2,0,NS
10.729,2,0,NS
10.746,2,0,NS
10.763,2,0,NS
10.78,2,0,NS
10.796,2,0,NS
10.813,2,0,NS
10.83,2,0,NS
10.847,2,0,NS
10.864,2,0,NS
10.881,2,0,NS
10.898,2,0,NS
