time_s,total_queue,vip_queue,phase
5.032,2,0,NS
5.049,2,0,NS
5.066,2,0,NS
5.083,2,0,NS
5.1,2,0,NS
5.117,2,0,NS
5.134,2,0,NS
5.151,2,0,NS
5.168,2,0,NS
5.185,2,0,NS
5.202,2,0,NS
5.219,2,0,NS
5.236,2,0,NS
5.253,2,0,NS
5.27,2,0,NS
5.288,2,0,NS
5.305,2,0,NS
5.322,2,0,NS
5.339,2,0,NS
5.356,2,0,NS
5.373,2,0,NS
5.39,2,0,NS
5.407,2,0,NS
5.424,2,0,NS
5.441,2,0,NS
5.458,2,0,NS
5.475,2,0,NS
5.493,2,0,NS
5.51,2,0,NS
5.527,2,0,NS
5.544,2,0,NS
5.561,2,0,NS
5.578,2,0,NS
5.595,2,0,NS
5.612,2,0,NS
5.629,2,0,NS
5.646,2,0,NS
5.663,2,0,NS
5.68,3,0,NS
5.697,3,0,NS
5.714,3,0,NS
5.731,3,0,NS
5.748,3,0,NS
5.765,3,0,NS
5.783,3,0,NS
5.8,3,0,NS
5.817,3,0,NS
5.834,3,0,NS
5.851,3,0,NS
5.868,3,0,NS
5.885,3,0,NS
5.902,3,0,NS
5.919,3,0,NS
5.936,3,0,NS
5.953,3,0,NS
5.97,3,0,NS
5.987,3,0,NS
6.004,3,0,NS
6.021,3,0,NS
6.038,3,0,NS
6.055,3,0,NS
6.072,3,0,NS
6.089,3,0,NS
6.106,3,0,NS
6.123,3,0,NS
6.14,3,0,NS
6.158,3,0,NS
6.175,3,0,NS
6.192,3,0,NS
6.209,3,0,NS
6.226,3,0,NS
6.243,3,0,NS
6.26,3,0,NS
6.277,3,0,NS
6.294,3,0,NS
6.311,3,0,NS
6.328,3,0,NS
6.345,4,0,NS
6.362,4,0,NS
6.379,4,0,NS
6.396,4,0,NS
6.413,3,0,NS
6.43,3,0,NS
6.447,3,0,NS
6.464,3,0,NS
6.481,3,0,NS
6.498,3,0,NS
6.515,3,0,NS
6.532,3,0,NS
6.549,3,0,NS
6.566,3,0,NS
6.583,3,0,NS
6.6,3,0,NS
6.617,3,0,NS
6.634,3,0,NS
6.651,3,0,NS
6.668,3,0,NS
6.685,3,0,NS
6.702,3,0,NS
6.719,3,0,NS
6.736,3,0,NS
6.753,3,0,NS
6.77,3,0,NS
6.787,3,0,NS
6.804,3,0,NS
6.82,3,0,NS
6.837,3,0,NS
6.854,3,0,NS
6.871,3,0,NS
6.888,3,0,NS
6.905,3,0,NS
6.922,4,1,NS
6.939,4,1,NS
6.956,4,1,NS
6.973,4,1,NS
6.991,4,1,NS
7.008,4,1,NS
7.025,4,1,NS
7.042,4,1,NS
7.059,4,1,NS
7.076,3,1,NS
7.093,3,1,NS
7.11,3,1,NS
7.127,3,1,NS
7.145,3,1,NS
7.162,3,1,NS
7.179,3,1,NS
7.196,3,1,NS
7.213,3,1,NS
7.23,3,1,NS
7.247,3,1,NS
7.263,3,1,NS
7.28,3,1,NS
7.297,3,1,NS
7.314,3,1,NS
7.331,3,1,NS
7.348,3,1,NS
7.365,3,1,NS
7.382,3,1,NS
7.399,3,1,NS
7.416,3,1,NS
7.433,3,1,NS
7.45,3,1,NS
7.467,3,1,NS
7.484,3,1,NS
7.501,3,1,NS
7.518,3,1,NS
7.535,3,1,NS
7.552,3,1,NS
7.569,3,1,NS
7.586,3,1,NS
7.604,3,1,NS
7.621,3,1,NS
7.638,4,1,NS
7.656,3,0,NS
7.673,3,0,NS
7.69,3,0,NS
7.707,3,0,NS
7.724,3,0,NS
7.741,3,0,NS
7.758,3,0,NS
7.775,3,0,NS
7.792,3,0,NS
7.809,3,0,NS
7.826,3,0,NS
7.843,3,0,NS
7.86,3,0,NS
7.877,3,0,NS
7.894,3,0,NS
7.911,3,0,NS
7.928,3,0,NS
7.945,3,0,NS
7.962,3,0,NS
7.979,3,0,NS
7.996,3,0,NS
8.013,3,0,NS
8.03,3,0,NS
8.047,3,0,NS
8.064,3,0,NS
8.081,3,0,NS
8.098,3,0,NS
8.115,3,0,NS
8.132,3,0,NS
8.149,3,0,NS
8.166,3,0,NS
8.183,4,0,NS
8.2,4,0,NS
8.217,4,0,NS
8.234,4,0,NS
8.251,4,0,NS
8.268,4,0,NS
8.285,4,0,NS
8.302,4,0,NS
8.32,5,0,NS
8.337,5,0,NS
8.354,5,0,NS
8.371,4,0,NS
8.388,4,0,NS
8.405,4,0,NS
8.421,4,0,NS
8.438,4,0,NS
8.455,4,0,NS
8.472,4,0,NS
8.489,4,0,NS
8.506,4,0,NS
8.522,4,0,NS
8.539,4,0,NS
8.556,4,0,NS
8.572,4,0,NS
8.589,4,0,NS
8.606,4,0,NS
8.623,4,0,NS
8.64,4,0,NS
8.657,4,0,NS
8.675,4,0,NS
8.692,4,0,NS
8.709,4,0,NS
8.726,4,0,NS
8.744,4,0,NS
8.761,4,0,NS
8.778,4,0,NS
8.795,4,0,NS
8.812,4,0,NS
8.829,4,0,NS
8.846,4,0,NS
8.863,5,0,NS
8.88,5,0,NS
8.897,5,0,NS
8.914,5,0,NS
8.931,5,0,NS
8.948,5,0,NS
8.965,5,0,NS
8.982,5,0,NS
8.999,6,0,NS
9.016,6,0,NS
9.033,6,0,NS
9.05,5,0,NS
9.067,5,0,NS
9.085,5,0,NS
9.102,5,0,NS
9.119,5,0,NS
9.136,5,0,NS
9.153,5,0,NS
9.17,5,0,NS
9.187,5,0,NS
9.204,5,0,NS
9.222,5,0,NS
9.239,5,0,NS
9.256,5,0,NS
9.273,5,0,NS
9.29,5,0,NS
9.307,5,0,NS
9.324,5,0,NS
9.341,5,0,NS
9.358,5,0,NS
9.375,5,0,NS
9.392,5,0,NS
9.409,5,0,NS
9.427,5,0,NS
9.444,5,0,NS
9.461,5,0,NS
9.478,5,0,NS
9.495,5,0,NS
9.512,5,0,NS
9.53,5,0,NS
9.548,5,0,NS
9.565,5,0,NS
9.582,5,0,NS
9.599,5,0,NS
