controller,avg_total_queue,p95_total_queue,max_total_queue,avg_vip_queue,switches_last,switches_mean,duration_s
Fixed Time,1.9400499583680266,5.0,5,0.035803497085761866,,,20.511
Actuated,2.7946541448437783,7.0,10,0.016254289326350008,,,95.258
Max Pressure,5.7265643730520255,15.0,20,0.034404219611603934,,,141.944
Fuzzy,9.309286898839138,20.0,23,0.04477611940298507,,,102.605
Q Learning,14.160057977016255,37.0,45,0.036856817475929185,,,164.398
