controller,avg_total_queue,p95_total_queue,max_total_queue,avg_vip_queue,avg_wait_time,duration_s,total_switches,cumulative_queue
Q Learning,1.8356716210584803,5.0,6,0.02444783997777469,5796.3971428565865,120.00732999998922,9,220.24403999997776
Actuated,2.0654257535768856,5.0,8,0.012223919988887345,6936.964038460885,120.00732999998922,9,247.86622999997655
Max Pressure,2.2283650507014863,5.0,6,0.0061119599944436725,6934.386599999329,120.00732999998922,9,267.3784649999733
