controller,avg_north,avg_south,avg_east,avg_west,std_dev
Actuated,0.23447701069593,0.6994026948187249,0.604528406723156,0.5270176413390749,0.17381736176067927
Max Pressure,0.7460758438672038,0.4546464786775941,0.5246562022503125,0.5029865259063759,0.11201502285656047
Q Learning,0.5443811640505626,0.2879566606473121,0.7170440338935963,0.2862897624670093,0.18231928705580427
