controller,load,avg_queue,max_queue,p95_queue,switches,cumulative_queue,avg_wait
Actuated,Light,1.094735379913877,4,3.0,3,131.3679349999867,5971.749666666078
Max Pressure,Light,0.8877621891929435,3,2.0,7,106.52963499998914,5963.020322580042
Q Learning,Light,0.6863453257396861,4,3.0,9,82.3581349999917,4975.474062499509
Actuated,Normal,1.662314210306987,6,4.0,8,199.47321999998138,5640.55096153795
Max Pressure,Normal,1.334490901514099,5,4.0,10,160.14868999998447,5318.656111110606
Q Learning,Normal,2.0280594527017644,6,5.0,9,243.38199999997573,6871.81433962198
Actuated,Heavy,3.217391304347826,10,8.0,9,386.02718999996523,4921.593440859789
Max Pressure,Heavy,5.3942214196416165,14,12.0,7,647.2377549999374,7097.204597700497
Q Learning,Heavy,6.968884567301014,22,19.0,5,836.2088749999174,9238.47736263647
